Date Time,Open,High,Low,Close,Volume,Adj Close
14-01-2020 15:30,934.75,934.75,934.5,934.5,2,934.5
14-01-2020 15:45,933,933,933,933,1,933
15-01-2020 05:00,940.75,941,940.5,940.75,10,940.75
15-01-2020 05:15,940.75,941.5,940.75,941.5,34,941.5
15-01-2020 05:30,941.25,941.25,940.75,940.75,47,940.75
15-01-2020 05:45,940.75,940.75,940,940,147,940
15-01-2020 06:00,940,940.25,939.75,939.75,112,939.75
15-01-2020 06:15,939.75,940.25,939.25,940.25,244,940.25
15-01-2020 06:30,940.25,940.5,940,940.25,76,940.25
15-01-2020 06:45,940.25,940.75,940,940.5,133,940.5
15-01-2020 07:00,940.5,940.5,939,939,457,939
15-01-2020 07:15,938.75,940,938.75,939.75,226,939.75
15-01-2020 07:30,940,941,938.75,940.75,320,940.75
15-01-2020 07:45,941,941,940.25,940.75,192,940.75
15-01-2020 08:00,941,941.25,940.5,941,161,941
15-01-2020 08:15,941,941,940.25,940.25,163,940.25
15-01-2020 08:30,940.5,941.25,940.25,941,114,941
15-01-2020 08:45,940.75,941.25,940.5,940.5,84,940.5
15-01-2020 09:00,940.5,940.75,940.25,940.5,56,940.5
15-01-2020 09:15,940.5,940.5,939.75,939.75,77,939.75
15-01-2020 09:30,940.25,940.75,940,940.25,80,940.25
15-01-2020 09:45,940.25,941.25,940.25,940.75,111,940.75
15-01-2020 10:00,940.75,940.75,940.25,940.25,68,940.25
15-01-2020 10:15,940.5,940.5,939.25,940,405,940
15-01-2020 10:30,940,940.25,939.75,940,74,940
15-01-2020 10:45,939.75,940.5,939.75,940.5,104,940.5
15-01-2020 11:00,940.5,940.75,940.25,940.25,147,940.25
15-01-2020 11:15,940.5,941.25,940.5,941,118,941
15-01-2020 11:30,941,942.25,940.75,942,245,942
15-01-2020 11:45,942,942,941.25,941.25,70,941.25
15-01-2020 12:00,941.25,942,941.25,941.75,117,941.75
15-01-2020 12:15,941.75,942.25,941.5,941.5,250,941.5
15-01-2020 12:30,941.75,941.75,940.75,941.25,139,941.25
15-01-2020 12:45,941.25,941.5,941,941.25,220,941.25
15-01-2020 13:00,941.25,941.75,941.25,941.5,283,941.5
15-01-2020 13:15,941.25,941.75,940,940.5,663,940.5
15-01-2020 13:30,940.25,940.5,939.5,939.75,403,939.75
15-01-2020 13:45,939.5,940.5,939.5,940.25,640,940.25
15-01-2020 14:45,940,943.25,939,941.75,5394,941.75
15-01-2020 15:00,941.5,942.5,939,939.5,3136,939.5
15-01-2020 15:15,939.5,939.5,936.25,937,7360,937
15-01-2020 15:30,937,939.25,936.25,938.25,2568,938.25
15-01-2020 15:45,938,943.25,937.75,943,4766,943
15-01-2020 16:00,943,943.25,940.75,940.75,4231,940.75
15-01-2020 16:15,941,941.75,939.5,941.5,3051,941.5
15-01-2020 16:30,941.5,942,940.5,941,2023,941
15-01-2020 16:45,941.25,941.25,937,938.5,6364,938.5
15-01-2020 17:00,938.5,941,938.25,940.25,3706,940.25
15-01-2020 17:15,940,940.75,939.25,939.5,2125,939.5
15-01-2020 17:30,939.25,940.25,938.5,938.5,2014,938.5
15-01-2020 17:45,938.75,939.25,938,938,1855,938
15-01-2020 18:00,938,938.5,933,934.25,6909,934.25
15-01-2020 18:15,934.25,938,933.75,936.75,5745,936.75
15-01-2020 18:30,937,937.25,934.25,935.25,4811,935.25
15-01-2020 18:45,935.25,935.25,929.25,930.25,9270,930.25
15-01-2020 19:00,930.5,931.5,928.5,928.75,6266,928.75
15-01-2020 19:15,928.75,930.5,928.25,928.75,14221,928.75
15-01-2020 19:30,928.75,929.5,928.25,929.5,2582,929.5
16-01-2020 01:15,929.75,930.25,927,927.5,3207,927.5
16-01-2020 01:30,927.5,928.5,927,927.25,1386,927.25
16-01-2020 01:45,927.25,928,927,928,405,928
16-01-2020 02:00,928,928.5,927.75,927.75,403,927.75
16-01-2020 02:15,928,928.25,927.25,927.5,436,927.5
16-01-2020 02:30,927.5,928,927.25,927.5,155,927.5
16-01-2020 02:45,927.5,927.5,926.5,926.75,828,926.75
16-01-2020 03:00,926.5,926.5,925.25,926.25,852,926.25
16-01-2020 03:15,926.25,926.5,926.25,926.25,254,926.25
16-01-2020 03:30,926.25,926.75,926,926.75,219,926.75
16-01-2020 03:45,926.5,926.5,926,926.5,115,926.5
16-01-2020 04:00,926.5,926.5,926.25,926.25,58,926.25
16-01-2020 04:15,926.5,926.5,926,926.25,149,926.25
16-01-2020 04:30,926.25,926.75,926,926.75,144,926.75
16-01-2020 04:45,926.5,926.75,926.5,926.5,11,926.5
16-01-2020 05:00,926.75,926.75,926.5,926.5,76,926.5
16-01-2020 05:15,926.5,926.75,926.5,926.75,5,926.75
16-01-2020 05:30,926.5,926.5,926,926.25,54,926.25
16-01-2020 05:45,926.25,926.5,926,926,141,926
16-01-2020 06:00,926,926.5,926,926.25,72,926.25
16-01-2020 06:15,926,926.75,926,926.75,960,926.75
16-01-2020 06:30,926.5,927,926.5,926.5,120,926.5
16-01-2020 06:45,926.5,927,926.5,926.75,40,926.75
16-01-2020 07:00,926.75,927.25,926.25,927,405,927
16-01-2020 07:15,927,927.5,927,927.25,142,927.25
16-01-2020 07:30,927.25,927.25,926.75,927,88,927
16-01-2020 07:45,926.75,927,926.75,927,22,927
16-01-2020 08:00,927,927,926.25,926.5,329,926.5
16-01-2020 08:15,926.25,926.5,925.25,925.5,1215,925.5
16-01-2020 08:30,925.75,926.75,925.5,926.75,351,926.75
16-01-2020 08:45,926.5,926.75,926,926.25,213,926.25
16-01-2020 09:00,926.25,926.75,926,926.5,261,926.5
16-01-2020 09:15,926.5,926.5,926.25,926.25,161,926.25
16-01-2020 09:30,926.5,926.75,926,926,150,926
16-01-2020 09:45,926,926.75,925.5,926.5,257,926.5
16-01-2020 10:00,926.5,926.5,925.5,925.75,332,925.75
16-01-2020 10:15,925.75,926,924.25,924.75,1542,924.75
16-01-2020 10:30,924.75,925,924.5,924.5,226,924.5
16-01-2020 10:45,924.5,925,924.5,924.75,212,924.75
16-01-2020 11:00,924.5,924.75,924.25,924.25,278,924.25
16-01-2020 11:15,924.25,925.25,924.25,924.75,246,924.75
16-01-2020 11:30,924.75,925.5,924.75,925.25,1535,925.25
16-01-2020 11:45,925.25,925.5,925,925,120,925
16-01-2020 12:00,925,925.5,924.75,925.5,242,925.5
16-01-2020 12:15,925.5,926.75,925.5,926.25,1005,926.25
16-01-2020 12:30,926.25,926.5,925,925.25,484,925.25
16-01-2020 12:45,925.5,926,925.25,925.5,231,925.5
16-01-2020 13:00,925.5,925.75,924.5,925.25,441,925.25
